row.ID,row.m.z,row.retention.time,ID_Ranked,Intensity_Ranked,Class_At_Max_Intensity,Adduct_At_Max_Intensity,Only_One_Class,LIPPOS17MAR_01.BLANK.1,LIPPOS17MAR_20.BLANK.2,LIPPOS17MAR_06.30,LIPPOS17MAR_02.POOL.1,LIPPOS17MAR_09.38,LIPPOS17MAR_08.55,LIPPOS17MAR_04.83,LIPPOS17MAR_05.39,LIPPOS17MAR_07.73,LIPPOS17MAR_03.201,LIPPOS17MAR_11.191,LIPPOS17MAR_17.127,LIPPOS17MAR_24.128,LIPPOS17MAR_15.118,LIPPOS17MAR_14.56,LIPPOS17MAR_19.209,LIPPOS17MAR_10.111,LIPPOS17MAR_13.102,LIPPOS17MAR_42.BLANK3,LIPPOS17MAR_26.129,LIPPOS17MAR_28.29,LIPPOS17MAR_16.12,LIPPOS17MAR_12.74,LIPPOS17MAR_18.146,LIPPOS17MAR_22.92,LIPPOS17MAR_35.137,LIPPOS17MAR_32.119,LIPPOS17MAR_33.47,LIPPOS17MAR_27.37,LIPPOS17MAR_29.208,LIPPOS17MAR_25.110,LIPPOS17MAR_21.POOL.2,LIPPOS17MAR_23.100,LIPPOS17MAR_37.154,LIPPOS17MAR_31.46,LIPPOS17MAR_30.75,LIPPOS17MAR_34.91,LIPPOS17MAR_41.173,LIPPOS17MAR_38.183,LIPPOS17MAR_40.190,LIPPOS17MAR_62.BLANK.4,LIPPOS17MAR_43.POOL.3,LIPPOS17MAR_39.192,LIPPOS17MAR_46.19,LIPPOS17MAR_45.66,LIPPOS17MAR_50.28,LIPPOS17MAR_55.20,LIPPOS17MAR_57.155,LIPPOS17MAR_49.101,LIPPOS17MAR_51.145,LIPPOS17MAR_52.3,LIPPOS17MAR_44.172,LIPPOS17MAR_36.200,LIPPOS17MAR_64.64,LIPPOS17MAR_53.109,LIPPOS17MAR_61.199,LIPPOS17MAR_65.136,LIPPOS17MAR_56.10,LIPPOS17MAR_58.156,LIPPOS17MAR_54.164,LIPPOS17MAR_47.1,LIPPOS17MAR_48.165,LIPPOS17MAR_69.11,LIPPOS17MAR_59.48,LIPPOS17MAR_68.174,LIPPOS17MAR_81.BLANK.5,LIPPOS17MAR_63.POOL.4,LIPPOS17MAR_60.84,LIPPOS17MAR_67.181,LIPPOS17MAR_66.21,LIPPOS17MAR_75.57,LIPPOS17MAR_76.120,LIPPOS17MAR_78.210,LIPPOS17MAR_71.2,LIPPOS17MAR_73.93,LIPPOS17MAR_74.65,LIPPOS17MAR_72.147,LIPPOS17MAR_70.182,LIPPOS17MAR_82.POOL.5,LIPPOS17MAR_79.138,LIPPOS17MAR_77.82,LIPPOS17MAR_80.163
5580,400.3422836,2.024262757,1_AcCar(16:0)+H,2761.90171,AcCar,[M+H]+,Yes,768.8868579,750.29124,31996.70683,52987.88155,182405.0283,27797.9149,54532.96559,189189.8574,48901.30656,9466.846519,28067.18796,13003.51671,18816.0851,255419.3058,26366.30464,11720.41113,268560.669,6714.86525,1742.624959,17438.37648,14487.33772,65068.3095,30349.91014,50871.18499,7101.900798,18990.49871,152980.3897,124392.5478,191254.3151,12491.17001,218140.9658,49722.48461,8619.157009,20214.95661,96150.00815,33987.74431,6709.262573,19424.52887,41298.86918,32845.02701,1719.183139,60354.19733,44606.19984,5200.300296,26492.20639,14140.88194,6967.022096,18267.20365,7521.869753,40348.57393,39786.38038,0,9070.33175,35767.94895,120133.4946,7521.658249,19934.27985,68245.955,24083.10109,2176.921052,42859.8848,4215.790213,64078.57016,136811.0199,15120.40332,988.6453422,58485.72596,38606.44576,43750.33352,9755.620981,25399.61377,176068.544,5836.670565,40679.63456,6264.513966,54539.69758,53406.88586,53481.57645,59324.21485,17647.05044,40911.50327,3248.739016
5159,426.3615773,2.159737939,1_AcCar(18:1)+H,2294.93846,AcCar,[M+H]+,Yes,0,0,11708.66408,21508.60454,66073.41457,6021.399128,3961.289977,89863.09769,5034.429431,1608.094126,16924.79078,3241.175762,3500.714323,140990.5117,3778.26125,1895.294428,95268.32695,887.3428206,0,5515.851158,3173.399012,19155.8168,5062.0104,40963.25449,2847.589047,4198.004529,80564.49844,63972.60454,66534.62689,4557.964349,92854.575,22976.63953,2006.993327,11723.79156,93171.17574,3293.476807,1154.760813,8447.952963,11831.60913,9622.250974,0,16188.84081,13746.2016,0,7302.089542,4730.46858,1480.681015,10971.24933,1597.782654,25967.48166,8326.425024,0,1699.486931,25257.64109,146539.3357,1970.297551,8774.850717,11714.50855,10211.23702,762.4447394,8981.932104,571.2669925,25353.104,88735.9,6998.425586,26.46014243,13700.7229,5709.27503,6197.329907,2563.096409,9526.272444,86597.00371,3752.65837,8750.342074,1334.75556,29868.94422,37769.11366,12287.49226,27191.23408,5787.433713,6283.826361,1184.519567
2410,426.3547033,2.144775527,1_AcCar(18:1)+H,2294.93846,AcCar,[M+H]+,Yes,580.5226421,26.34560791,24808.52569,44787.17246,104309.4489,18757.29528,18676.45371,217787.3377,31659.40498,6061.86601,28391.02032,11449.10369,17548.15659,334139.3132,17764.62471,7516.683202,347143.4668,3195.633326,0,18700.56733,14628.26886,53646.37886,17483.4265,92169.30935,5995.574137,13820.65531,251664.8153,223168.5264,243521.6805,14573.89917,243199.4241,49301.18778,4810.57743,22291.45312,161740.8983,16121.89084,2897.732039,29743.94992,15211.67307,30207.96278,0,53493.90038,36950.60426,4640.726312,53631.32607,9842.572084,4470.595498,22452.38304,5378.941985,85834.87079,20666.84495,358.0409245,6800.206959,48848.39292,296379.403,4612.401583,10830.79679,41321.32896,28011.12763,2852.07064,44516.58428,2291.697228,51928.65534,174462.9682,19701.04825,0,47668.29966,18007.73963,32780.65731,5139.432401,25969.63892,203475.0373,9672.359999,28177.32642,6334.746583,67206.18877,102724.4839,26371.28049,47120.58828,12235.86099,14132.8846,4277.356937
5581,426.3543627,2.152589744,1_AcCar(18:1)+H,2294.93846,AcCar,[M+H]+,Yes,379.4327069,26.34560791,18029.78192,20418.2623,145003.5171,15097.63308,11885.63386,105514.8659,24950.60686,4322.740913,35356.97242,5070.889918,11988.0352,232302.7493,11587.38929,8724.856921,177967.1428,3551.595041,0,9503.326711,11481.73545,27045.26279,7876.562622,38666.42978,2223.194984,6358.281957,88989.01601,152517.2069,168563.3365,11207.1487,98590.35313,23947.24911,3505.54751,16617.50122,75413.6301,4419.993359,1159.189783,20216.28154,14648.71611,11319.56335,0,25049.85793,32742.46528,2457.296002,27798.54651,5682.189487,4617.663754,21629.71513,4189.986534,27792.55264,23198.63735,0,5118.444777,26993.67055,143545.3085,2468.622606,4693.991252,26088.53296,12151.82016,1334.85848,20853.29404,1335.893203,29298.14658,177514.9299,8252.458349,0,23440.02837,9555.926149,10140.51086,4368.416547,18897.39949,192438.7352,4544.996785,11763.93807,2100.526428,39454.17715,47267.73035,9468.351782,23975.38408,5792.789028,5567.993875,1959.087777
5582,426.3574279,2.185248077,1_AcCar(18:1)+H,2294.93846,AcCar,[M+H]+,Yes,26.62265602,393.3953603,13822.18844,28673.42876,98249.056,15049.33586,9604.592004,117474.4935,18222.76144,4148.195696,26056.63228,3893.113178,11066.79614,156359.0863,12644.92676,6811.154211,242372.949,2442.156022,0,8350.468814,10132.84255,24862.09995,9346.91241,43061.60977,2840.959923,7269.385361,82717.69388,94164.85547,139031.4146,10168.91964,99166.01284,23869.8922,3976.097527,11665.34737,121428.3834,4854.457642,2298.35751,15101.00125,15212.20118,11298.50791,0,30952.99805,23281.33949,3354.30176,25412.998,7461.074536,4154.629907,14988.07432,3777.310151,33086.33678,16601.96621,0,6529.489176,25357.69512,125497.831,3360.218065,7556.239272,31338.02419,12573.89347,3039.572469,21474.14574,1715.761428,29296.25649,137059.6165,9513.542755,0,27374.13721,9630.68396,14682.70015,4498.989057,16267.26344,122815.9751,4218.970336,30323.98033,4406.582151,37790.77609,42167.84297,13954.11338,27061.62258,6556.947522,7344.09419,2510.104138
5583,426.3591547,2.149526496,1_AcCar(18:1)+H,2294.93846,AcCar,[M+H]+,Yes,0,811.252952,28477.74689,66470.04321,196113.2322,27801.06904,20373.18148,287578.637,30528.09821,4819.072141,41604.75705,13005.25208,20244.16989,340325.0125,20697.26826,11772.65593,342926.1252,2656.496616,0,25156.06582,12430.83116,62712.85749,18579.01018,121059.7077,7215.689522,14282.48502,250994.5346,214277.7987,281337.4416,16814.5938,310284.8851,62669.68472,6620.580641,30022.74074,253200.8213,19850.37441,4233.516803,31423.56729,32115.12332,38506.85621,0,62578.81836,53579.97046,4898.707198,40679.37585,13322.73789,5767.977724,29169.16439,5377.22162,97721.45249,23364.53165,0,8080.928532,67351.05086,376706.7015,6695.24963,22256.87735,53408.33766,29130.14759,2090.285002,38555.28077,3437.014516,67696.30314,249534.6295,21347.57904,836.3388016,71994.27108,25491.4023,27689.99305,6451.646457,29002.619,278559.7332,9996.330241,40100.86169,5356.266385,92988.12443,117626.2109,32419.82869,76894.08382,14986.28826,16988.87832,4088.42797
5584,426.3617153,2.162668376,1_AcCar(18:1)+H,2294.93846,AcCar,[M+H]+,Yes,0,1575.583843,24802.38383,36043.00122,145973.9434,15813.10756,13571.65535,146507.7156,15611.26031,5077.77224,36424.96802,5192.925551,12200.39355,267744.7211,12903.21744,6152.445624,130364.8982,2633.290638,0,9795.452221,8779.321252,35003.4581,7300.818838,67272.20586,5688.54897,8475.389117,120357.3991,144980.1033,193587.3467,12247.73725,139582.2118,34874.64502,5309.96094,22667.68349,189093.6485,5459.497656,2305.119329,21753.99904,25916.3361,16977.16744,0,28786.87243,31262.77686,1999.127877,12631.596,8555.192311,5383.548501,20590.65808,3983.953329,40382.02213,19116.91931,0,5211.139938,41422.90003,217156.8844,3815.677024,13894.43455,30544.96892,17101.78353,1522.283472,15740.35355,952.3040548,39437.83647,198013.6823,10574.52679,444.0425568,24302.19946,10860.55667,12422.42402,6611.09232,25584.1837,178993.537,6406.924965,15323.81037,2480.066175,52908.4041,59334.18144,17249.64919,43522.70491,8953.134616,8537.737573,2552.467752
6993,768.5821027,11.69484268,1_BMP(16:0_18:0)+NH4,4499.98286,BMP,[M+NH4]+,Yes,533.7504788,1510.650448,695792.256,1412350.549,652439.0585,427235.0852,437905.408,695929.2669,440212.2993,1670119.539,2348229.741,1587992.779,1897485.099,2813426.714,565889.7016,1728112.213,2961669.186,253757.05,1287.139851,2086136.867,826231.6908,1195730.736,580670.3137,1231725.529,410877.1437,1091623.165,3042326.641,627075.035,696401.0577,1900987.45,3732780.874,1216703.624,329303.6812,1194848.372,717099.2218,497513.177,302981.6038,859692.9479,2088967.15,3069789.178,1062.511037,1456587.455,3317540.983,1183579.435,425878.5674,642959.9342,440982.6548,1411283.597,301238.1967,823711.4944,1295769.459,309289.4936,1821043.779,218529.3103,4332966.654,1719127.938,961778.6338,1690920.973,1268870.011,701789.0204,2999536.16,1012447.089,1286089.02,738546.3673,1078958.728,1036.669069,1228863.838,313990.3464,2172048.126,415640.5984,397581.6771,2782493.096,2077781.719,1550377.762,393403.4823,345669.1299,1049405.193,2378066.69,1385925.536,1020559.864,412664.6832,907158.033
5857,794.588044,13.96255854,1_BMP(16:0_20:1)+NH4 | 1_BMP(18:0_18:1)+NH4,1328.072149 | 967.050149,BMP,[M+NH4]+,Yes,11346.8801,12900.10181,376042.1922,610712.442,288938.263,333387.4992,1006509.027,314126.1115,918858.7156,487504.61,571595.2332,571967.3582,616781.4118,625701.1145,345941.3185,433886.0379,887592.9072,144355.8283,18526.2393,579148.6109,311947.3265,167423.6287,976054.3797,596174.6687,371805.5495,386605.2654,832860.926,256882.3321,295582.2008,452926.1039,893301.257,339857.3894,580142.9002,718785.8225,353652.8849,129751.97,380357.658,604502.9925,142939.478,669132.6349,12625.12303,769487.1876,671555.4775,221075.5077,214780.4284,349304.0344,284594.4745,188096.7905,282298.046,499301.1545,247895.3784,858917.1584,447801.3992,223840.8146,908280.4602,460486.1049,424282.2167,191959.8211,135904.7755,411858.6639,432834.0136,504490.6127,510654.3534,271014.2973,711935.6724,14473.26729,606327.9706,384511.4426,115184.2558,346488.544,216113.7536,724301.05,471483.5017,189391.127,628658.3337,222848.9457,633493.8144,660933.9569,613527.3126,418260.2803,770351.52,490280.7178
5625,768.5679073,11.70043125,1_BMP(16:0_18:0)+NH4,4499.98286,BMP,[M+NH4]+,Yes,67.0617034,0,91539.32442,118839.4819,72365.899,44788.11302,71888.26982,91575.15738,78937.64579,173952.7582,107809.394,153326.376,169081.1043,341364.7892,59045.28113,166518.3316,46440.54841,48176.2807,0,194548.0352,116772.796,150852.2718,81109.8553,130435.2764,86408.66482,76381.01438,244291.195,108098.9622,59841.34676,203283.7031,272183.2959,132206.9815,60693.4005,169585.9131,93972.19756,88056.64043,64053.90492,48545.62131,202083.723,313132.4699,493.8886605,142176.0423,301271.2186,312004.3444,137359.8551,73860.88211,74087.13108,189389.4234,69714.24929,84724.37219,74649.88326,25920.03784,245380.7162,35611.40188,377827.558,222882.3103,78982.47995,217306.026,129184.6986,64381.03018,338111.0613,482920.4658,139244.2139,81456.16945,130857.051,236.8766902,108049.2491,70480.31266,151471.7406,65455.19676,61786.06485,341368.6795,367805.3038,125432.9883,85664.82555,34688.30352,113009.209,212475.3129,95578.27208,114020.2338,93010.17247,158112.5589
4873,794.5900421,11.89539268,1_BMP(18:0_18:1)+NH4,3500.853186,BMP,[M+NH4]+,Yes,1278.597268,754.2475115,262880.7744,485604.0367,254116.7624,158007.1302,209708.8294,341634.6224,192794.1789,538962.8252,306216.2463,694389.4014,839917.2254,1337632.666,287781.4196,82118.98465,1128859.792,158119.8457,473.4642866,992092.6466,279568.1207,424860.4982,284705.984,575531.6709,245765.4956,396187.9094,983669.0497,249124.2132,244543.3076,665993.4801,1262891.585,402041.74,167121.8319,393018.9092,274746.1763,211700.0085,205248.4848,454464.1648,494347.0735,857202.725,339.3248473,480058.7831,906641.2286,718497.0144,357432.8448,232073.5943,130304.9383,547581.4532,193889.011,499459.8743,390493.18,626546.7464,669537.1817,102160.8984,84937.48466,564912.1447,492086.742,692097.9751,410601.4596,528350.4425,2106301.65,839693.9843,539112.9199,246784.6424,483772.9135,312.5288596,418798.7369,138258.5105,586767.6655,164816.1297,252496.6716,1214199.462,1026945.5,465406.1224,274076.8229,171996.5131,552229.4036,545639.6697,657979.2252,387543.5702,253275.3553,781951.0974
9195,794.586549,11.9114565,1_BMP(18:0_18:1)+NH4,3500.853186,BMP,[M+NH4]+,Yes,1214.330237,718.2212602,189900.9755,286277.0694,184931.9312,105258.277,140068.3516,204303.8026,128347.2497,479126.7701,255477.0087,398108.7029,516184.4095,828354.0523,189682.297,298441.713,704060.3589,112440.13,473.4656923,506408.1905,236145.0737,330438.8767,183808.6966,359214.7349,184139.1872,208644.97,671935.2922,194550.9957,90621.68542,468686.3867,658965.017,269053.7662,122657.7151,245627.6948,164442.5681,155038.8195,129758.6738,169522.4585,285537.8669,494429.434,443.2454041,308324.5611,520710.4119,563348.0345,288545.5699,159409.5312,143028.1001,297565.2226,140169.4175,405505.9054,184770.896,540060.5243,388428.3288,105574.2392,957660.3367,443138.9591,369112.6494,492038.3062,228650.0509,88166.73062,980657.7899,1232167.749,382445.0274,204976.7915,312482.7438,174.6864221,336555.6331,112306.6413,472446.4089,131884.3451,191593.3924,525930.0413,292365.0854,399604.6567,280783.6955,79235.09615,352129.9219,511585.5042,412785.0267,277351.4917,227770.8722,508873.7559
